time               total        used        free      shared  buff/cache   available
2023-07-31 21:18:01  Mem:           125G         49G         35G        1.1M         40G         74G
2023-07-31 21:18:04  Mem:           125G         49G         35G        1.1M         40G         74G
2023-07-31 21:18:07  Mem:           125G         49G         34G        1.1M         40G         74G
2023-07-31 21:18:10  Mem:           125G         49G         34G        1.1M         40G         74G
2023-07-31 21:18:13  Mem:           125G         49G         34G        1.1M         40G         74G
2023-07-31 21:18:16  Mem:           125G         49G         34G        1.1M         40G         74G
2023-07-31 21:18:19  Mem:           125G         49G         34G        1.1M         40G         74G
2023-07-31 21:18:22  Mem:           125G         50G         34G        1.1M         40G         74G
2023-07-31 21:18:25  Mem:           125G         50G         34G        1.1M         40G         74G
2023-07-31 21:18:28  Mem:           125G         50G         34G        1.1M         40G         74G
2023-07-31 21:18:31  Mem:           125G         50G         34G        1.1M         40G         74G
2023-07-31 21:18:34  Mem:           125G         50G         34G        1.1M         40G         73G
2023-07-31 21:18:37  Mem:           125G         50G         33G        1.1M         40G         73G
2023-07-31 21:18:40  Mem:           125G         50G         33G        1.1M         40G         73G
2023-07-31 21:18:43  Mem:           125G         50G         33G        1.1M         40G         73G
2023-07-31 21:18:46  Mem:           125G         50G         33G        1.1M         40G         73G
2023-07-31 21:18:49  Mem:           125G         50G         33G        1.1M         41G         73G
2023-07-31 21:18:52  Mem:           125G         50G         33G        1.1M         41G         73G
2023-07-31 21:18:55  Mem:           125G         50G         33G        1.1M         41G         73G
2023-07-31 21:18:58  Mem:           125G         50G         33G        1.1M         41G         73G
2023-07-31 21:19:01  Mem:           125G         50G         33G        1.1M         41G         73G
2023-07-31 21:19:04  Mem:           125G         50G         33G        1.1M         41G         73G
2023-07-31 21:19:07  Mem:           125G         50G         33G        1.1M         41G         73G
2023-07-31 21:19:10  Mem:           125G         50G         32G        1.1M         41G         73G
2023-07-31 21:19:13  Mem:           125G         50G         32G        1.1M         41G         73G
2023-07-31 21:19:16  Mem:           125G         51G         32G        1.1M         41G         73G
2023-07-31 21:19:19  Mem:           125G         51G         32G        1.1M         41G         73G
2023-07-31 21:19:22  Mem:           125G         51G         32G        1.1M         41G         73G
2023-07-31 21:19:25  Mem:           125G         51G         32G        1.1M         41G         73G
2023-07-31 21:19:28  Mem:           125G         51G         32G        1.1M         41G         72G
2023-07-31 21:19:31  Mem:           125G         51G         32G        1.1M         41G         72G
2023-07-31 21:19:34  Mem:           125G         51G         32G        1.1M         41G         72G
2023-07-31 21:19:37  Mem:           125G         51G         32G        1.1M         41G         72G
2023-07-31 21:19:40  Mem:           125G         51G         32G        1.1M         41G         72G
2023-07-31 21:19:43  Mem:           125G         51G         31G        1.1M         41G         72G
2023-07-31 21:19:46  Mem:           125G         51G         31G        1.1M         41G         72G
2023-07-31 21:19:49  Mem:           125G         51G         31G        1.1M         41G         72G
2023-07-31 21:19:52  Mem:           125G         51G         31G        1.1M         41G         72G
2023-07-31 21:19:55  Mem:           125G         51G         31G        1.1M         41G         72G
