      enp1s0      
 KB/s in  KB/s out
  188.94    438.93
  208.24    478.64
  197.91    456.10
  188.35    438.30
  215.29    506.74
  194.89    451.37
  196.18    455.61
  200.69    467.70
  186.09    429.50
  213.53    492.32
  202.08    466.24
  204.77    472.76
  194.11    449.22
  208.69    482.59
  215.63    496.02
  194.65    449.24
  196.89    456.65
  187.75    435.89
  194.78    451.62
  210.00    477.95
  190.38    432.41
  189.34    422.35
  208.62    471.12
  200.75    457.33
  209.06    468.11
  188.65    421.79
  206.61    457.86
  194.06    431.97
  178.75    407.83
  187.59    431.84
  205.80    476.62
  196.21    452.26
  193.51    441.70
  213.73    492.08
  193.78    438.83
  216.42    493.12
  193.31    444.29
  197.70    455.42
  192.80    437.07
  208.42    473.38
  173.68    389.86
  192.32    439.31
  188.77    431.99
  219.16    499.75
  197.80    454.37
  201.67    464.29
  206.74    473.89
  170.83    391.66
  214.25    496.82
  208.44    479.25
  192.14    432.64
  216.30    479.79
  212.77    477.60
  209.96    471.36
  215.15    480.89
  199.85    442.96
  188.34    425.99
  207.26    471.02
  169.41    381.24
  185.94    417.43
  190.68    424.97
  210.72    463.53
  181.93    402.03
  222.87    494.29
  199.56    449.47
  205.97    456.60
  194.68    438.11
  218.99    493.23
  208.35    458.34
  205.01    456.60
  203.73    457.11
  221.07    494.96
  189.21    434.05
  224.59    501.26
  230.18    508.70
  208.96    482.09
  204.46    473.65
  217.52    503.04
  210.28    488.37
  219.75    504.68
  214.11    491.70
  220.37    508.96
  202.07    464.62
  179.81    418.31
  232.09    533.29
  201.38    466.22
  209.94    488.44
  204.82    474.33
  203.26    471.85
  220.45    505.17
  203.89    470.10
  219.71    503.17
