time               total        used        free      shared  buff/cache   available
2023-07-29 14:31:21  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:24  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:30  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:33  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:31:36  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:31:39  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:31:42  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:31:45  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:31:51  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:31:54  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:31:57  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:32:00  Mem:           125G         16G        104G        1.1M        3.7G        107G
2023-07-29 14:32:04  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:07  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:10  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:13  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:16  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:19  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:24  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:27  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:31  Mem:           125G         16G        104G        1.1M        3.8G        107G
2023-07-29 14:32:34  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:32:37  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:32:40  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:32:44  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:32:47  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:32:50  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:32:53  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:32:56  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:32:59  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:33:02  Mem:           125G         16G        104G        1.1M        3.9G        107G
2023-07-29 14:33:05  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:08  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:11  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:14  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:21  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:24  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:27  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:31  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:34  Mem:           125G         16G        104G        1.1M        4.0G        107G
2023-07-29 14:33:38  Mem:           125G         16G        104G        1.1M        4.1G        107G
2023-07-29 14:33:41  Mem:           125G         16G        104G        1.1M        4.1G        107G
2023-07-29 14:33:44  Mem:           125G         16G        104G        1.1M        4.1G        107G
2023-07-29 14:33:47  Mem:           125G         16G        104G        1.1M        4.1G        107G
2023-07-29 14:33:51  Mem:           125G         16G        104G        1.1M        4.1G        107G
